iter	RMSE
0	258.7452532
1	242.6014398
2	231.5223156
3	222.671089
4	215.2818574
5	211.1528807
6	206.8278169
7	203.7873358
8	201.6063696
9	198.7349215
10	195.8915255
11	192.7648913
12	191.2557852
13	189.515314
14	187.749095
15	186.5928407
16	185.1335925
17	184.0907501
18	183.8895073
19	183.703284
20	183.5307975
21	182.4641529
22	181.7511116
23	180.7214194
24	180.5823042
25	179.7060196
26	179.3164338
27	178.7043169
28	178.5727481
29	177.7334465
30	176.9520498
31	176.8319744
32	176.0911137
33	175.463557
34	175.3533079
35	174.9623445
36	174.8715073
37	174.5937981
38	174.5094703
39	174.002397
