iter	Passed	Remaining
0	151	151479
1	158	78979
2	165	55136
3	171	42710
4	180	35820
5	187	31091
6	196	27849
7	203	25235
8	214	23607
9	222	21992
10	231	20855
11	239	19729
12	247	18753
13	253	17870
14	260	17086
15	265	16302
16	269	15611
17	276	15107
18	281	14524
19	285	14003
20	293	13685
21	300	13353
22	307	13082
23	312	12705
24	317	12384
25	323	12133
26	330	11928
27	339	11784
28	346	11613
29	366	11848
30	372	11654
31	379	11466
32	383	11227
33	388	11033
34	392	10827
35	396	10629
36	402	10465
37	406	10282
38	410	10110
39	414	9958
40	421	9869
41	427	9740
42	432	9634
43	437	9514
44	442	9396
45	448	9311
46	454	9209
47	459	9104
48	465	9034
49	470	8946
50	476	8860
51	482	8799
52	487	8708
53	492	8619
54	501	8610
55	506	8538
56	513	8503
57	520	8457
58	526	8400
59	533	8354
60	538	8288
61	544	8233
62	549	8174
63	555	8122
64	564	8114
65	569	8065
66	573	7988
67	579	7935
68	583	7876
69	587	7808
70	593	7767
71	598	7712
72	601	7643
73	606	7583
74	611	7545
75	614	7473
76	618	7416
77	624	7380
78	630	7348
79	632	7270
80	642	7292
81	686	7684
82	718	7940
83	728	7943
84	733	7900
85	740	7873
86	753	7906
87	759	7866
88	763	7814
89	768	7766
90	773	7725
91	777	7669
92	781	7618
93	784	7564
94	789	7525
95	793	7473
96	798	7434
97	804	7407
98	809	7367
99	814	7327
100	820	7302
101	824	7262
102	829	7226
103	835	7199
104	840	7164
105	847	7150
106	854	7128
107	858	7089
108	862	7049
109	866	7012
110	871	6978
111	874	6936
112	878	6895
113	883	6867
114	888	6835
115	892	6801
116	896	6763
117	903	6750
118	906	6712
119	910	6677
120	916	6657
121	920	6625
122	924	6590
123	928	6555
124	932	6529
125	936	6495
126	939	6459
127	943	6427
128	950	6418
129	954	6387
130	958	6356
131	963	6336
132	967	6309
133	974	6294
134	979	6274
135	983	6245
136	988	6224
137	991	6195
138	996	6173
139	1000	6144
140	1003	6115
141	1008	6090
142	1013	6071
143	1016	6044
144	1020	6019
145	1026	6003
146	1030	5980
147	1035	5962
148	1040	5941
149	1046	5930
150	1051	5909
151	1055	5890
152	1060	5873
153	1065	5853
154	1069	5831
155	1077	5830
156	1082	5811
157	1088	5801
158	1092	5779
159	1096	5756
160	1100	5737
161	1104	5714
162	1108	5693
163	1113	5677
164	1119	5666
165	1124	5649
166	1129	5631
167	1133	5615
168	1140	5609
169	1145	5592
170	1151	5580
171	1155	5564
172	1161	5550
173	1169	5550
174	1173	5534
175	1179	5524
176	1185	5513
177	1190	5499
178	1194	5479
179	1199	5465
180	1203	5444
181	1207	5425
182	1210	5403
183	1215	5391
184	1218	5369
185	1222	5348
186	1225	5327
187	1228	5306
188	1233	5293
189	1237	5274
190	1240	5255
191	1243	5235
192	1249	5224
193	1253	5207
194	1256	5187
195	1263	5182
196	1267	5166
197	1272	5156
198	1279	5148
199	1283	5132
200	1286	5115
201	1291	5100
202	1292	5074
203	1298	5066
204	1302	5049
205	1306	5035
206	1314	5035
207	1320	5027
208	1327	5025
209	1334	5018
210	1340	5013
211	1349	5015
212	1355	5009
213	1364	5011
214	1371	5006
215	1378	5004
216	1385	4998
217	1389	4983
218	1397	4983
219	1403	4977
220	1411	4974
221	1415	4960
222	1418	4941
223	1423	4932
224	1426	4912
225	1430	4899
226	1434	4886
227	1439	4875
228	1443	4860
229	1445	4838
230	1448	4822
231	1450	4800
232	1457	4798
233	1460	4782
234	1463	4764
235	1466	4748
236	1469	4731
237	1473	4717
238	1477	4705
239	1481	4691
240	1485	4678
241	1489	4665
242	1493	4652
243	1497	4638
244	1502	4629
245	1505	4615
246	1507	4596
247	1509	4577
248	1513	4564
249	1518	4556
250	1522	4543
251	1529	4538
252	1535	4533
253	1538	4519
254	1541	4503
255	1545	4490
256	1550	4482
257	1555	4472
258	1558	4459
259	1563	4448
260	1568	4441
261	1570	4424
262	1574	4411
263	1581	4408
264	1584	4394
265	1588	4381
266	1601	4395
267	1605	4384
268	1614	4388
269	1619	4379
270	1624	4368
271	1626	4354
272	1632	4348
273	1637	4339
274	1642	4330
275	1646	4318
276	1649	4305
277	1654	4296
278	1658	4286
279	1665	4282
280	1669	4272
281	1674	4263
282	1680	4258
283	1686	4251
284	1694	4250
285	1697	4236
286	1701	4227
287	1706	4218
288	1712	4213
289	1716	4203
290	1721	4194
291	1727	4189
292	1732	4180
293	1737	4171
294	1743	4167
295	1748	4158
296	1752	4149
297	1758	4143
298	1764	4136
299	1767	4125
300	1771	4115
301	1775	4104
302	1780	4095
303	1783	4084
304	1789	4077
305	1793	4068
306	1797	4058
307	1800	4044
308	1807	4042
309	1811	4032
310	1815	4022
311	1820	4014
312	1824	4005
313	1827	3991
314	1830	3980
315	1834	3971
316	1838	3961
317	1844	3956
318	1848	3946
319	1851	3935
320	1856	3926
321	1859	3916
322	1864	3906
323	1869	3899
324	1873	3891
325	1877	3881
326	1881	3871
327	1886	3864
328	1889	3854
329	1893	3844
330	1897	3834
331	1900	3824
332	1904	3815
333	1908	3805
334	1912	3795
335	1917	3789
336	1921	3780
337	1924	3769
338	1928	3760
339	1933	3753
340	1937	3743
341	1940	3734
342	1954	3744
343	1958	3734
344	1962	3726
345	1964	3713
346	1968	3704
347	1972	3695
348	1976	3686
349	1981	3679
350	1986	3673
351	1992	3667
352	1998	3662
353	2001	3653
354	2005	3643
355	2009	3634
356	2013	3626
357	2018	3619
358	2022	3611
359	2029	3607
360	2035	3602
361	2046	3606
362	2052	3601
363	2057	3595
364	2064	3591
365	2069	3584
366	2075	3579
367	2080	3572
368	2084	3565
369	2091	3560
370	2095	3552
371	2100	3546
372	2106	3540
373	2110	3533
374	2115	3525
375	2119	3518
376	2125	3513
377	2130	3505
378	2135	3498
379	2142	3496
380	2147	3489
381	2151	3481
382	2158	3476
383	2163	3470
384	2167	3462
385	2174	3458
386	2179	3452
387	2183	3444
388	2188	3438
389	2192	3429
390	2196	3420
391	2199	3412
392	2204	3405
393	2208	3396
394	2213	3389
395	2218	3384
396	2222	3375
397	2226	3367
398	2230	3359
399	2235	3353
400	2239	3345
401	2243	3337
402	2247	3329
403	2254	3325
404	2258	3318
405	2263	3312
406	2269	3306
407	2274	3300
408	2279	3293
409	2285	3288
410	2289	3281
411	2294	3274
412	2299	3268
413	2304	3261
414	2308	3253
415	2314	3248
416	2318	3241
417	2323	3234
418	2327	3227
419	2332	3220
420	2336	3213
421	2340	3205
422	2346	3200
423	2349	3192
424	2353	3184
425	2357	3177
426	2363	3171
427	2366	3163
428	2369	3154
429	2373	3146
430	2380	3143
431	2385	3136
432	2389	3129
