iter	Passed	Remaining
0	5	5513
1	10	5171
2	15	5219
3	21	5300
4	26	5343
5	32	5383
6	38	5424
7	43	5428
8	49	5428
9	54	5433
10	60	5433
11	66	5441
12	71	5420
13	76	5415
14	82	5402
15	87	5400
16	93	5392
17	98	5381
18	104	5377
19	110	5391
20	115	5367
21	120	5359
22	127	5400
23	132	5398
24	138	5410
25	144	5400
26	149	5394
27	155	5387
28	160	5376
29	166	5369
30	171	5361
31	176	5352
32	182	5354
33	188	5352
34	194	5351
35	199	5351
36	205	5346
37	211	5343
38	216	5342
39	222	5336
40	227	5328
41	233	5319
42	238	5311
43	243	5297
44	249	5289
45	254	5276
46	259	5264
47	265	5256
48	270	5247
49	275	5241
50	281	5232
51	286	5223
52	291	5216
53	297	5206
54	302	5197
55	307	5189
56	313	5180
57	318	5167
58	322	5145
59	327	5135
60	333	5129
61	338	5122
62	344	5117
63	349	5108
64	353	5087
65	359	5081
66	364	5076
67	369	5068
68	375	5064
69	381	5062
70	386	5059
71	392	5052
72	397	5046
73	402	5038
74	407	5028
75	413	5022
76	418	5014
77	423	5009
78	427	4989
79	431	4967
80	436	4950
81	441	4945
82	447	4940
83	452	4935
84	457	4926
85	462	4917
86	467	4909
87	473	4906
88	478	4900
89	484	4894
90	488	4878
91	493	4874
92	498	4859
93	503	4854
94	509	4849
95	514	4845
96	520	4848
97	526	4847
98	532	4844
99	537	4839
100	542	4829
101	547	4823
102	552	4811
103	557	4805
104	563	4801
105	568	4796
106	573	4790
107	579	4787
108	584	4781
109	590	4776
110	595	4772
111	600	4760
112	604	4744
113	609	4738
114	613	4722
115	619	4717
116	624	4713
117	630	4709
118	635	4702
119	639	4691
120	645	4685
121	649	4671
122	653	4658
123	657	4648
124	662	4634
125	667	4629
126	672	4624
127	678	4620
128	683	4613
129	688	4609
130	692	4596
131	698	4593
132	704	4590
133	708	4581
134	714	4577
135	717	4558
136	721	4545
137	726	4537
138	731	4530
139	737	4527
140	742	4523
141	747	4513
142	752	4511
143	757	4503
144	761	4487
145	766	4484
146	770	4469
147	775	4465
148	779	4453
149	784	4446
150	789	4440
151	795	4436
152	800	4428
153	805	4426
154	811	4423
155	816	4419
156	822	4415
157	825	4401
158	831	4396
159	836	4389
160	840	4382
161	846	4378
162	851	4370
163	856	4363
164	860	4354
165	864	4341
166	869	4337
167	875	4334
168	879	4323
169	884	4319
170	888	4306
171	893	4301
172	898	4297
173	904	4292
174	909	4285
175	914	4283
176	920	4278
177	925	4274
178	930	4269
179	934	4259
180	939	4249
181	944	4245
182	949	4239
183	954	4231
184	959	4226
185	964	4222
186	970	4218
187	975	4213
188	980	4207
189	983	4194
190	988	4186
191	993	4181
192	996	4168
193	1002	4163
194	1007	4158
195	1012	4153
196	1017	4148
197	1021	4136
198	1026	4130
199	1031	4127
200	1036	4118
201	1041	4113
202	1046	4108
203	1051	4101
204	1056	4096
205	1061	4092
206	1065	4081
207	1070	4076
208	1075	4071
209	1080	4064
210	1085	4059
211	1091	4055
212	1095	4048
213	1100	4043
214	1105	4037
215	1110	4031
216	1115	4025
217	1120	4019
218	1125	4015
219	1131	4010
220	1135	4004
221	1140	3997
222	1145	3991
223	1150	3987
224	1155	3981
225	1160	3975
226	1166	3971
227	1171	3965
228	1174	3955
229	1180	3950
230	1185	3944
231	1189	3938
232	1194	3933
233	1199	3926
